,loss,learning_rate,n_estimators,subsample,criterion,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,min_impurity_decrease,alpha,ccp_alpha,mean_score,score0,score1,score2,score3,score4,metric_mae0,metric_mae1,metric_mae2,metric_mae3,metric_mae4,mean_metric_mae,metric_std_error0,metric_std_error1,metric_std_error2,metric_std_error3,metric_std_error4,mean_metric_std_error,metric_r20,metric_r21,metric_r22,metric_r23,metric_r24,mean_metric_r2,metric_adjusted_r20,metric_adjusted_r21,metric_adjusted_r22,metric_adjusted_r23,metric_adjusted_r24,mean_metric_adjusted_r2,mean_time_train,mean_time_pred,time_train0,time_train1,time_train2,time_train3,time_train4,time_pred0,time_pred1,time_pred2,time_pred3,time_pred4
0,lad,0.07367605430336117,341,0.6578212134843727,mse,7,2,0.09579131551986614,0.17778508099434015,0.8506198512297352,0.01233034636284465,-0.024310421675741024,-0.012375493643563606,0.017508383602092947,-0.04685501685974636,-0.05034481355405385,-0.029485167923434252,0.3247126543998949,0.33177325259113455,0.33187523229099364,0.32972787184754426,0.3311062359965183,0.32983904942521713,0.209573499120119,0.2134559062657806,0.22523616957110357,0.22271179412975597,0.21696769850892675,0.21758901351913718,-0.012375493643563606,0.017508383602092947,-0.04685501685974636,-0.05034481355405385,-0.029485167923434252,-0.024310421675741024,-0.03307141514905387,-0.0025766238881539394,-0.06825580085006466,-0.07181693921444321,-0.050530861305174035,-0.045250328081377945,0.00034322140614191697,1.2334982554117836e-06,0.0003282064199447632,0.0003276334206263224,0.00035732915004094444,0.00036067475875218707,0.00034226328134536745,1.2771288553873697e-06,1.3514359792073567e-06,1.2362003326416015e-06,1.185735066731771e-06,1.1169910430908202e-06
1,ls,0.4148642854605989,467,0.7093611340485191,mae,18,13,0.10011431898471018,0.1313618051799973,0.9815137230762763,0.0048598306562428716,-0.013284732281967715,0.06526015143147457,-0.039806804675548424,-0.01270626754827986,-0.020002240036745,-0.05916850058073986,0.30972088079378673,0.3383005265686435,0.3341228823509181,0.33142692211092956,0.3181404466426347,0.32634233169338256,0.2245345058994274,0.2168184457908325,0.21630674755463988,0.2111334107202256,0.2228958800754839,0.21833779800812186,0.06526015143147457,-0.039806804675548424,-0.01270626754827986,-0.020002240036745,-0.05916850058073986,-0.013284732281967715,0.046151329995661516,-0.06106350255647963,-0.03340895104160069,-0.04085407458604817,-0.08082100825871064,-0.033999241289435524,0.013232100725173949,1.645644505818685e-06,0.013380607267220816,0.01317246158917745,0.013230056961377462,0.013134671946366628,0.013242705861727396,2.0090738932291665e-06,1.6025702158610026e-06,1.5735626220703124e-06,1.5143553415934245e-06,1.5286604563395183e-06
2,ls,0.4142184130708541,174,0.8648524883601802,mae,17,16,0.01283433297307937,0.026326405522906757,0.9928078282867794,0.05601694822917182,0.421161228438032,0.4574833957500811,0.40394500030089286,0.43986701658700156,0.40789984480779395,0.39661088474439044,0.23093757902326548,0.2520067135399556,0.22922907894254005,0.2501187234042805,0.24918111276742366,0.24229464153549304,0.167268348155283,0.17493683639002863,0.17068554153554702,0.17939184985256115,0.16663370149185572,0.1717832554850551,0.4574833957500811,0.40394500030089286,0.43986701658700156,0.40789984480779395,0.39661088474439044,0.421161228438032,0.4463927667023826,0.3917598895745057,0.4284162571305178,0.39579558269142856,0.3842758432059452,0.409328067860956,0.017412013669808706,1.394510269165039e-06,0.01758935978015264,0.018280672629674276,0.017022738158702852,0.01853641003370285,0.015630887746810915,2.3909409840901695e-06,1.2524922688802082e-06,1.121362050374349e-06,1.1046727498372397e-06,1.1030832926432292e-06
3,ls,0.2644744627433403,208,0.8906247979527496,mae,5,15,0.04845186172874395,0.04387680514716846,0.9895986576155248,0.09658905468180995,0.06591290117402775,0.10392279794755188,0.04966064125359415,0.07349358592647348,0.06879940219064751,0.033688078551871725,0.3074908233389535,0.32463921888615377,0.305977300694537,0.3071007668504181,0.3189149363037774,0.3128246092147679,0.20344513256080243,0.21049280569700665,0.21126427030405875,0.212855725894937,0.21265191383792287,0.21014196965894555,0.10392279794755188,0.04966064125359415,0.07349358592647348,0.06879940219064751,0.033688078551871725,0.06591290117402775,0.08560435429400948,0.030232920120788487,0.054553080016963684,0.049762933410899324,0.013933831435385402,0.046817423855609275,0.02269588847955068,1.2549559275309246e-06,0.023578039904435476,0.02301467180252075,0.02237230122089386,0.02260037471850713,0.02191405475139618,1.3566017150878907e-06,1.226663589477539e-06,1.1571248372395834e-06,1.3585885365804036e-06,1.1758009592692057e-06
4,ls,0.2536005001515619,410,0.5473676741197647,mse,8,19,0.026210332276138344,0.044679549650394196,0.5362004027292144,0.17734010924610943,0.0699954893939519,0.06976505023446267,0.07079953712506937,0.06839448354397981,0.07771118360418827,0.0633071924620594,0.31064519378218847,0.32205715620734027,0.3173307741175808,0.3184387392609838,0.33365054158655044,0.3204244809909288,0.19860926242693674,0.1933237780106418,0.19135816264487782,0.20289372911419803,0.20368367854401498,0.19797372214813386,0.06976505023446267,0.07079953712506937,0.06839448354397981,0.07771118360418827,0.0633071924620594,0.0699954893939519,0.05074832213022673,0.05180395696408269,0.049349737040619956,0.05885689774941871,0.0441584468224423,0.05098347214135808,0.0006589035987854005,1.4803409576416017e-06,0.00065106600522995,0.0006814958651860555,0.000662255585193634,0.0006571913758913676,0.0006425091624259948,1.7531712849934896e-06,1.3526280721028645e-06,1.2584527333577474e-06,1.3959407806396485e-06,1.6415119171142578e-06
5,lad,0.09238244182163007,364,0.7303912098976102,friedman_mse,6,17,0.030664287858835865,0.18789889630177364,0.5598755013932472,0.03091952959706164,0.7896118291127784,0.7813590336304903,0.7882052620551759,0.802486279875188,0.7940941301478481,0.7819144398551896,0.13020104957506876,0.12990241684068313,0.12841376074247227,0.12943330121272392,0.132922190772821,0.1301745438287538,0.13022563119762642,0.1274659239318416,0.11444196319389784,0.11851742640004448,0.12439942715646203,0.12301007437597448,0.7813590336304903,0.7882052620551759,0.802486279875188,0.7940941301478481,0.7819144398551896,0.7896118291127784,0.7768893716263436,0.7838755570205288,0.7984485206903537,0.7898848108323016,0.7774561319817012,0.7853108784302457,0.0008526532649993897,2.1849473317464197e-06,0.0008471600214640299,0.0008933426936467489,0.0008600552876790365,0.000839361051718394,0.000823347270488739,2.4390220642089845e-06,2.0531813303629557e-06,2.119143803914388e-06,2.1366278330485024e-06,2.176761627197266e-06
6,lad,0.18968560952145752,39,0.7034080273837131,friedman_mse,6,10,0.10367239311015404,0.16199266348630534,0.5030889055600246,0.12141152351492268,0.05979643246424389,0.09766609901877521,0.05584063765079261,0.03715938894769677,0.03471017968369594,0.0736058570202589,0.29763690373690427,0.30282236941634577,0.32972474910154004,0.34166184429111546,0.302767926707641,0.31492275865070934,0.20456768948502463,0.20553991709967948,0.21411906469247274,0.2155397596452258,0.21080823999191403,0.21011493418286334,0.09766609901877521,0.05584063765079261,0.03715938894769677,0.03471017968369594,0.0736058570202589,0.05979643246424389,0.07921975010604143,0.036539253752682854,0.01747610558717272,0.01497682730925698,0.0546676462608775,0.040575916603206294,7.81748096148173e-05,6.500879923502605e-07,7.963120937347412e-05,7.798651854197185e-05,7.734298706054687e-05,7.74728258450826e-05,7.844050725301107e-05,7.029374440511068e-07,5.988279978434245e-07,6.659825642903646e-07,5.833307902018229e-07,6.993611653645833e-07
7,quantile,0.20381714568367168,255,0.6902008102886819,friedman_mse,7,4,0.08991012544926856,0.03860880079802548,0.6747615770095315,0.02524541491854569,-0.3373745980340427,-0.28102884063053746,-0.25842073713958436,-0.4114387847122196,-0.3555277063126341,-0.380456921375238,0.33355278973888786,0.3260576515662435,0.3718304225979478,0.35591768724226064,0.36357845969220176,0.3501874021675083,0.2805462194568672,0.2754366524550665,0.29182319351923136,0.2906600162098005,0.2874995253480915,0.2851931213978114,-0.28102884063053746,-0.25842073713958436,-0.4114387847122196,-0.3555277063126341,-0.380456921375238,-0.3373745980340427,-0.30721682374393855,-0.28414654437242093,-0.44029272920378126,-0.38323866453367605,-0.40867750579858186,-0.3647144535304797,0.000534635106722514,1.500686009724935e-06,0.0005354058742523194,0.0005403433243433635,0.0005382250746091207,0.0005287835995356242,0.0005304176608721416,2.293189366658529e-06,1.1181831359863282e-06,9.882450103759765e-07,1.8493334452311198e-06,1.2544790903727214e-06
8,huber,0.23292217069700147,479,0.6340540458139842,mae,16,19,0.15095489248473465,0.0867883154011298,0.8534185846439495,0.16702560802067334,-0.004119299514065533,-0.0022094262808127763,-2.439037798396271e-07,-0.007822783262470656,-0.0021964472644040445,-0.008367596858860349,0.31580460768620944,0.3462215359446143,0.3260664041902297,0.33902723835393944,0.3379781128733232,0.33301957980966324,0.20644227818113822,0.20741606124037895,0.1986907087395481,0.2023485093916028,0.20939176128851886,0.20485786376823736,-0.0022094262808127763,-2.439037798396271e-07,-0.007822783262470656,-0.0021964472644040445,-0.008367596858860349,-0.004119299514065533,-0.022697523581272305,-0.020443179043209803,-0.028425634027631874,-0.02268427923573757,-0.02898158521031924,-0.024646440219634157,0.015605451762676237,2.066294352213542e-06,0.016006293594837188,0.015486348966757456,0.01576935331026713,0.0154961292942365,0.015269133647282919,3.3454100290934244e-06,1.764694849650065e-06,1.680453618367513e-06,1.5966097513834635e-06,1.944303512573242e-06
9,ls,0.4021784278246886,123,0.7808911097531459,mse,18,7,0.09107810952298723,0.06557269027739981,0.9411353874503587,0.025417477669334006,0.45253878921095814,0.48365475995623597,0.4619570583724083,0.44822037612937604,0.4362378555970222,0.43262389599974826,0.22246697451502892,0.24403208033939894,0.23718479789162852,0.25035862052824653,0.24834583611103422,0.24047766187706743,0.1526397238049468,0.15064316307275766,0.16106689880450384,0.16055753034919204,0.175681163848754,0.16011769597603087,0.48365475995623597,0.4619570583724083,0.44822037612937604,0.4362378555970222,0.43262389599974826,0.45253878921095814,0.47309915027902094,0.4509578840972276,0.4369403838185626,0.4247129054559051,0.4210250659350072,0.44134707791714467,0.00012022091945012412,8.566379547119143e-07,0.00011806041002273559,0.00011759698390960694,0.00011768072843551636,0.00011928985516230265,0.00012847661972045899,7.665157318115234e-07,8.928775787353516e-07,7.581710815429688e-07,1.0502338409423829e-06,8.153915405273437e-07
