,loss,learning_rate,n_estimators,subsample,criterion,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,min_impurity_decrease,alpha,ccp_alpha,mean_score,score0,score1,score2,score3,score4,metric_mae0,metric_mae1,metric_mae2,metric_mae3,metric_mae4,mean_metric_mae,metric_std_error0,metric_std_error1,metric_std_error2,metric_std_error3,metric_std_error4,mean_metric_std_error,metric_r20,metric_r21,metric_r22,metric_r23,metric_r24,mean_metric_r2,metric_adjusted_r20,metric_adjusted_r21,metric_adjusted_r22,metric_adjusted_r23,metric_adjusted_r24,mean_metric_adjusted_r2,mean_time_train,mean_time_pred,time_train0,time_train1,time_train2,time_train3,time_train4,time_pred0,time_pred1,time_pred2,time_pred3,time_pred4
0,lad,0.07367605430336117,341,0.6578212134843727,mse,7,2,0.09579131551986614,0.17778508099434015,0.8506198512297352,0.01233034636284465,0.053962321810419864,0.05276416617774404,0.054632285953203685,0.050735032413546266,0.05664493825376238,0.05503518625384296,0.27147482821171226,0.27315113961517457,0.27694338622064996,0.2725277703177128,0.27115919504851116,0.27305126388275214,0.18971307102357016,0.19459230153390378,0.19219107334828076,0.1848145131997354,0.18651700206955554,0.18956559223500913,0.05276416617774404,0.054632285953203685,0.050735032413546266,0.05664493825376238,0.05503518625384296,0.053962321810419864,0.039794912874903776,0.041688610355199884,0.037737996853285494,0.04372881925419425,0.042097027039265766,0.041009473275369836,0.0006367019295692443,2.4576425552368163e-06,0.0006608293056488037,0.0006326068043708801,0.0006130272448062896,0.0006551230549812317,0.0006219232380390167,1.8881559371948243e-06,3.012537956237793e-06,2.894401550292969e-06,2.9270648956298826e-06,1.5660524368286133e-06
1,ls,0.4148642854605989,467,0.7093611340485191,mae,18,13,0.10011431898471018,0.1313618051799973,0.9815137230762763,0.0048598306562428716,0.022819558777223303,0.11491930570809394,-2.429516488877681e-05,-0.0003171821941863051,-0.0003674913202476038,-0.00011254314265474186,0.2620737215015874,0.28493344553547606,0.2804444779320488,0.2802869013125745,0.28339550588985835,0.278226810434309,0.19470982470856324,0.1883538026533491,0.1901040057659225,0.19319272595994094,0.19006544117891855,0.19128516005333887,0.11491930570809394,-2.429516488877681e-05,-0.0003171821941863051,-0.0003674913202476038,-0.00011254314265474186,0.022819558777223303,0.10280106090795116,-0.01371631137657836,-0.014013208522402731,-0.014064206465098872,-0.013805767617731668,0.009440313385227906,0.07389313403367996,2.2135257720947266e-06,0.0748091584444046,0.07255911067128182,0.07348102942109108,0.07525411951541901,0.07336225211620331,2.245068550109863e-06,2.068042755126953e-06,2.595067024230957e-06,2.0000934600830077e-06,2.1593570709228517e-06
2,ls,0.4142184130708541,174,0.8648524883601802,mae,17,16,0.01283433297307937,0.026326405522906757,0.9928078282867794,0.05601694822917182,0.16457005109518896,0.16298367811777925,0.18094250120310207,0.1865521327084363,0.13044498187578912,0.16192696157083808,0.24401217436503236,0.2501482516308275,0.2454612241375895,0.25513410493841515,0.24806247189815384,0.24856364539400366,0.18666399513298795,0.19081676210075058,0.18945626101469198,0.18691670696382703,0.19165496416921843,0.1891017378762952,0.16298367811777925,0.18094250120310207,0.1865521327084363,0.13044498187578912,0.16192696157083808,0.16457005109518896,0.15152351549565957,0.1697282251039559,0.1754146619088054,0.11853930972094451,0.15045233072013464,0.1531316085899,0.09481405484080316,2.0111322402954105e-06,0.10479731023311616,0.08505590617656708,0.10217514950037003,0.0860871470272541,0.09595476126670838,2.5742053985595705e-06,1.8112659454345704e-06,2.379775047302246e-06,1.6072988510131837e-06,1.6831159591674804e-06
3,ls,0.2644744627433403,208,0.8906247979527496,mae,5,15,0.04845186172874395,0.04387680514716846,0.9895986576155248,0.09658905468180995,0.09130321976687658,0.09715077534979322,0.09376676729997713,0.09363325923077614,0.07950951813543627,0.09245577881840017,0.25751459303812907,0.26122933170061047,0.27203027451195066,0.27121934328770964,0.2662332115679614,0.2656453508212723,0.18529104284688475,0.18786991853536505,0.18463957623692426,0.19391755323903706,0.19122219880570007,0.18858805793278224,0.09715077534979322,0.09376676729997713,0.09363325923077614,0.07950951813543627,0.09245577881840017,0.09130321976687658,0.08478924945448107,0.0813589086372486,0.0812235726178101,0.06690645372856852,0.08002997051621796,0.07886163099086525,0.08557080872654914,1.7673969268798827e-06,0.09686373570561409,0.08746485617756844,0.08004657584428787,0.0802986818253994,0.08318019407987595,1.9944906234741213e-06,1.640796661376953e-06,1.7217397689819335e-06,1.9245147705078123e-06,1.5554428100585938e-06
4,ls,0.2536005001515619,410,0.5473676741197647,mse,8,19,0.026210332276138344,0.044679549650394196,0.5362004027292144,0.17734010924610943,0.07510776927272331,0.07883631129936253,0.07319054090027233,0.07659265754886768,0.06966520207785931,0.07725413453725472,0.27305732734711635,0.26812042890790905,0.27580807745448205,0.26315184717833695,0.2656132330059436,0.2691501827787576,0.19090122025964185,0.1886167370647828,0.19077893760073272,0.1857615766791563,0.18690813703023954,0.18859332172691062,0.07883631129936253,0.07319054090027233,0.07659265754886768,0.06966520207785931,0.07725413453725472,0.07510776927272331,0.06622402955751805,0.06050095905661479,0.06394965640983086,0.056927352410568344,0.06462019013183173,0.062444437513272756,0.000905340439081192,1.9678592681884766e-06,0.0009146569073200226,0.0009074176847934722,0.0008969668745994568,0.000898245632648468,0.0009094150960445404,2.414822578430176e-06,1.8873214721679688e-06,1.8978118896484375e-06,1.941800117492676e-06,1.697540283203125e-06
5,lad,0.09238244182163007,364,0.7303912098976102,friedman_mse,6,17,0.030664287858835865,0.18789889630177364,0.5598755013932472,0.03091952959706164,0.6239946962675044,0.618886394413494,0.6380472025840678,0.635159348935433,0.6098861415947971,0.6179943938097299,0.1573087914103326,0.15068245820798729,0.15119322580949893,0.157812971806458,0.15409573957803502,0.15421863736246239,0.14063253030056447,0.13564922141903735,0.14094612886191213,0.1488410411095197,0.14336287249025872,0.14188635883625847,0.618886394413494,0.6380472025840678,0.635159348935433,0.6098861415947971,0.6179943938097299,0.6239946962675044,0.6136683075215895,0.6330914594145798,0.6301640661875916,0.6045448260892492,0.6127640939278144,0.6188465506281648,0.0011731847345829009,2.3017406463623046e-06,0.0011724348068237304,0.0011722469925880433,0.0011670092046260833,0.0011799688041210174,0.0011742638647556304,2.5273561477661133e-06,2.3409128189086915e-06,2.260565757751465e-06,2.4150609970092774e-06,1.9648075103759765e-06
6,lad,0.18968560952145752,39,0.7034080273837131,friedman_mse,6,10,0.10367239311015404,0.16199266348630534,0.5030889055600246,0.12141152351492268,0.11325928780904224,0.1164253816951265,0.11632465110625223,0.10727780101889972,0.1111806319976969,0.11508797322723585,0.2619003352404902,0.25924383563195885,0.2581369499415114,0.2557227296982807,0.2694425284229363,0.26088927578703547,0.18285231019163933,0.188860660548142,0.18971810421147922,0.1855325902701478,0.19497564859980956,0.18838786276424357,0.1164253816951265,0.11632465110625223,0.10727780101889972,0.1111806319976969,0.11508797322723585,0.11325928780904224,0.10432775761083057,0.10422564785060762,0.09505493115455399,0.09901119846013995,0.10297203776939368,0.10111831456910517,0.0001679812014102936,1.702570915222168e-06,0.0001742945611476898,0.00016129150986671448,0.0001655993163585663,0.00016967621445655823,0.0001690444052219391,2.7823448181152344e-06,1.0731220245361329e-06,1.1528730392456054e-06,2.280473709106445e-06,1.224040985107422e-06
7,quantile,0.20381714568367168,255,0.6902008102886819,friedman_mse,7,4,0.08991012544926856,0.03860880079802548,0.6747615770095315,0.02524541491854569,-0.11119486201895282,-0.07777321557144212,-0.09755837983931226,-0.14925511963154925,-0.12284905934265344,-0.10853853570980698,0.2808517621108717,0.2849660110582128,0.2980039633673428,0.2879659671243856,0.2910877628739629,0.28857509330695513,0.2116683591077627,0.20873111294120444,0.21969759996234584,0.21543683105343753,0.2224086902976859,0.21558851867248724,-0.07777321557144212,-0.09755837983931226,-0.14925511963154925,-0.12284905934265344,-0.10853853570980698,-0.11119486201895282,-0.09252974539924597,-0.11258580187565159,-0.16499035707072363,-0.13822275336002243,-0.1237162945658743,-0.1264089904543036,0.0006958536446094513,1.6513586044311524e-06,0.0006960512697696686,0.0006985937654972077,0.0007004877924919129,0.0006955780386924743,0.0006885573565959931,1.925230026245117e-06,1.5813112258911133e-06,1.5687942504882813e-06,1.5817880630493164e-06,1.5996694564819337e-06
8,huber,0.23292217069700147,479,0.6340540458139842,mae,16,19,0.15095489248473465,0.0867883154011298,0.8534185846439495,0.16702560802067334,-0.001073896760540194,-0.0013516273120255384,-0.0009163772010460924,-0.00012948067981666256,-0.0017873346070191864,-0.0011846640027934896,0.2843318862532481,0.2822630569223568,0.27764768946685514,0.28475129475272865,0.28687546918945794,0.28317387931692933,0.19398642664370483,0.19043756793708613,0.19054408985254656,0.19165759934780854,0.19144780289055036,0.19161469733433928,-0.0013516273120255384,-0.0009163772010460924,-0.00012948067981666256,-0.0017873346070191864,-0.0011846640027934896,-0.001073896760540194,-0.015061816935466155,-0.01462060751769334,-0.013822937058292961,-0.015503489796871994,-0.01489256761743607,-0.014780283785152105,0.08285585495829581,2.719593048095703e-06,0.08221586671471595,0.07997684633731841,0.08350761729478837,0.08422739267349243,0.08435155177116394,3.377079963684082e-06,2.4446249008178713e-06,3.2656192779541014e-06,2.249956130981445e-06,2.2606849670410155e-06
9,ls,0.4021784278246886,123,0.7808911097531459,mse,18,7,0.09107810952298723,0.06557269027739981,0.9411353874503587,0.025417477669334006,0.3124972115100366,0.32065390513295167,0.3152695551317898,0.3048550647202104,0.30683833741188815,0.3148691951533432,0.22569984327847056,0.2257269464450991,0.22651969826806312,0.22998484192942711,0.22472220320114064,0.2265307066244401,0.1703436726782903,0.1685148219691472,0.17211969235508134,0.1735849212323428,0.16684958700480343,0.170282539047933,0.32065390513295167,0.3152695551317898,0.3048550647202104,0.30683833741188815,0.3148691951533432,0.3124972115100366,0.31135251336753056,0.3058944425499228,0.2953373602310855,0.29734778726489064,0.3054886009693373,0.3030841408765534,0.00015976442098617556,1.3360023498535157e-06,0.00015985000133514405,0.00015971201658248902,0.00015922808647155762,0.00015977510809898375,0.00016025689244270324,1.4041662216186523e-06,1.294851303100586e-06,1.3564825057983398e-06,1.214146614074707e-06,1.410365104675293e-06
