,flavour,poly,corr,extra_points,mean_score,score0,score1,score2,score3,score4,metric_mae0,metric_mae1,metric_mae2,metric_mae3,metric_mae4,mean_metric_mae,metric_std_error0,metric_std_error1,metric_std_error2,metric_std_error3,metric_std_error4,mean_metric_std_error,metric_r20,metric_r21,metric_r22,metric_r23,metric_r24,mean_metric_r2,metric_adjusted_r20,metric_adjusted_r21,metric_adjusted_r22,metric_adjusted_r23,metric_adjusted_r24,mean_metric_adjusted_r2,mean_time_train,mean_time_pred,time_train0,time_train1,time_train2,time_train3,time_train4,time_pred0,time_pred1,time_pred2,time_pred3,time_pred4
0,pls,constant,squar_exp,0,0.8254924522368106,0.8361430292511609,0.8240554599025358,0.8004047257645115,0.8169917527220043,0.8498672935438399,0.09147743416919128,0.09361191820059524,0.10131858186674937,0.08693582844063222,0.08797331415763213,0.09226341536696003,0.09716328007054255,0.10914936281076275,0.11030054974087944,0.10519643778286948,0.0958827102887767,0.10353846813876619,0.8361430292511609,0.8240554599025358,0.8004047257645115,0.8169917527220043,0.8498672935438399,0.8254924522368106,0.8327933126430075,0.820458637958465,0.7963244135143823,0.8132505279054183,0.8467981411120274,0.8219250066266601,0.0013700833519299824,0.0002072884241739909,0.0014746225873629253,0.0013579911986986797,0.0014432475964228312,0.001292052666346232,0.0012825027108192444,0.0002100980281829834,0.00022342205047607422,0.00020661274592081706,0.00019953290621439615,0.0001967763900756836
1,plain,constant,abs_exp,4,0.9572568565139628,0.9551981685981386,0.9655966506836713,0.9614303191841846,0.9481049354258069,0.9559542086780127,0.047201934157964295,0.042346007192130136,0.04194253544014147,0.04720913435511261,0.04611029627597822,0.04496198148426535,0.05452634569791348,0.04375617055321374,0.050228939019269336,0.06209997734335865,0.048099540084015555,0.05174219453955416,0.9551981685981386,0.9655966506836713,0.9614303191841846,0.9481049354258069,0.9559542086780127,0.9572568565139628,0.9542822878880494,0.9648933454165572,0.960641841893231,0.9470440482454145,0.9550537836424695,0.9563830614171444,0.018311870098114014,0.0003155483404795329,0.018494420448939005,0.018251306513945263,0.018259585599104563,0.018281588355700176,0.01827244957288106,0.00031509915987650553,0.000316169261932373,0.00031836549441019695,0.00031595230102539064,0.00031215548515319826
2,plain,quadratic,abs_exp,3,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,plsk,constant,abs_exp,5,0.9563276500760859,0.9600878849930942,0.9641314476197841,0.9626518344319547,0.9485561613689059,0.9462109219666905,0.0454656809222114,0.04071617246168925,0.04450160162807519,0.046067533433899646,0.04699952942893965,0.04475010357496303,0.051171724952337225,0.04625675369609901,0.04681064353425638,0.0582931589811933,0.060698733812300086,0.0526462029952372,0.9600878849930942,0.9641314476197841,0.9626518344319547,0.9485561613689059,0.9462109219666905,0.9563276500760859,0.9592719644137366,0.9633981893087745,0.9618883284918924,0.9475044985689516,0.945111315601444,0.9554348592769599,0.018330809394518532,0.00030576769510904945,0.018630370497703552,0.018320500055948895,0.018305732011795042,0.018186214069525402,0.01821123033761978,0.00030541022618611654,0.00030783931414286295,0.0003068161010742188,0.00030330340067545575,0.0003054694334665934
4,plsk,linear,squar_exp,3,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,plsk,constant,squar_exp,2,0.9341432363835784,0.9277425774690722,0.9317645004389481,0.9422309606322025,0.9349963038220964,0.9339818395555725,0.06061603011906539,0.056616163168629066,0.055219176688548685,0.05771739939529313,0.05797957146817198,0.05762966816794166,0.0678541221793888,0.06365262855195704,0.05858885509702758,0.06233144721951788,0.06206506778260723,0.0628984241660997,0.9277425774690722,0.9317645004389481,0.9422309606322025,0.9349963038220964,0.9339818395555725,0.9341432363835784,0.9262654240272133,0.9303695668874445,0.9410499921953821,0.9336674378014238,0.9326322349127563,0.932796931164844,0.019393083969751996,0.0003198550542195638,0.01950871805349986,0.019427905082702635,0.01941940575838089,0.01941525936126709,0.019194131592909495,0.0003203741709391276,0.0003184692064921061,0.00032099207242329916,0.00031794031461079917,0.000321499506632487
6,plain,constant,squar_exp,4,0.9320741040338761,0.9325817852861347,0.9206118026907453,0.9275104003940071,0.9316123380327309,0.9480541937657626,0.05864246116684084,0.05885053681976862,0.05772473516080531,0.06043530178483491,0.05315208441275824,0.057761023869001595,0.06218330445582946,0.07099859172603186,0.06767380614590329,0.06694551781500122,0.0536960450432498,0.06429945303720314,0.9325817852861347,0.9206118026907453,0.9275104003940071,0.9316123380327309,0.9480541937657626,0.9320741040338761,0.9312035594316774,0.918988875318154,0.9260285005724195,0.930214293835785,0.9469922692771581,0.9306854996870388,0.017484941482543946,0.0003117431004842122,0.0177045996983846,0.017412589887777965,0.017480331063270568,0.017372147341569263,0.017455039421717326,0.00031153321266174316,0.00031093875567118326,0.0003109117348988851,0.0003164776166280111,0.0003088541825612386
7,plain,linear,squar_exp,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,pls,quadratic,squar_exp,5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,plain,quadratic,squar_exp,1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,pls,linear,abs_exp,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,plsk,quadratic,abs_exp,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
