,flavour,poly,corr,extra_points,mean_score,score0,score1,score2,score3,score4,metric_mae0,metric_mae1,metric_mae2,metric_mae3,metric_mae4,mean_metric_mae,metric_std_error0,metric_std_error1,metric_std_error2,metric_std_error3,metric_std_error4,mean_metric_std_error,metric_r20,metric_r21,metric_r22,metric_r23,metric_r24,mean_metric_r2,metric_adjusted_r20,metric_adjusted_r21,metric_adjusted_r22,metric_adjusted_r23,metric_adjusted_r24,mean_metric_adjusted_r2,mean_time_train,mean_time_pred,time_train0,time_train1,time_train2,time_train3,time_train4,time_pred0,time_pred1,time_pred2,time_pred3,time_pred4
0,pls,constant,squar_exp,0,0.8561238521953488,0.8588270417722227,0.8579255167506195,0.8561799425540255,0.8532832211835684,0.8544035387163074,0.09086246137201172,0.09024268260849401,0.09375275842208756,0.09045503466442761,0.0894146090986574,0.09094550923313566,0.08995443435896733,0.09359464933041121,0.09179813696120655,0.09317343591753366,0.0932411692383173,0.0923523651612872,0.8588270417722227,0.8579255167506195,0.8561799425540255,0.8532832211835684,0.8544035387163074,0.8561238521953488,0.85689414629953,0.8559802778826006,0.854210803836459,0.8512744214736071,0.8524100780395022,0.8541539455063397,0.005739334571361542,0.0012193193674087523,0.006291999250650406,0.00558763724565506,0.005514818578958512,0.005507994055747986,0.005794223725795746,0.001270029664039612,0.0011781852245330811,0.0012087050676345824,0.0011978763341903686,0.001241800546646118
1,plain,constant,abs_exp,4,0.9516944468481194,0.9518160531514217,0.9529402165263897,0.9496574328675242,0.951309487349014,0.9527490443462476,0.050513838769346106,0.049653937998569174,0.05024830725611956,0.0509488422197307,0.05112328592414877,0.05049764243358286,0.05702085580539223,0.05499587393346406,0.05702657280733256,0.055177918053726356,0.05373631771758896,0.05559150766350083,0.9518160531514217,0.9529402165263897,0.9496574328675242,0.951309487349014,0.9527490443462476,0.9516944468481194,0.9511563337980182,0.9522958888621973,0.9489681583682459,0.9506428322569366,0.9521020992130573,0.9510330624996911,0.1833343139886856,0.0019844887733459467,0.1844497440159321,0.18306598570942878,0.183493628680706,0.1835712713301182,0.18209094020724298,0.0019654940366744993,0.0020161087512969972,0.002023360252380371,0.002016542077064514,0.0019009387493133544
2,plain,quadratic,abs_exp,3,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,plsk,constant,abs_exp,5,0.9472251685597121,0.946223390267626,0.9444654875629195,0.948833247473098,0.9477735384790162,0.9488301790159003,0.05118168593382056,0.053225319169187886,0.05219668444873118,0.05299983714508038,0.05298224204125992,0.05251715374761599,0.05809704904122672,0.059260486008123635,0.05811706745848315,0.05914556528654395,0.057017399149412326,0.058327513388757954,0.946223390267626,0.9444654875629195,0.948833247473098,0.9477735384790162,0.9488301790159003,0.9472251685597121,0.9454870979437041,0.9437051265914179,0.9481326884881962,0.9470584702938912,0.9481295780186535,0.9465025922671725,0.02589453232884407,0.001998577618598938,0.026900611340999605,0.025864323377609254,0.026067758351564406,0.0259065383374691,0.024733430236577987,0.002060414671897888,0.0019600927829742433,0.0020623390674591063,0.001958998441696167,0.0019510431289672852
4,plsk,linear,squar_exp,3,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,plsk,constant,squar_exp,2,0.887383109437877,0.891722510833279,0.8906994541902936,0.8853961639726281,0.8825146862032559,0.8865827319899285,0.07773865647985789,0.07822326774875796,0.08158038093572297,0.0817349904589405,0.08001810114076506,0.07985907935280888,0.08127859322130539,0.07933512369773697,0.08225261554736976,0.08655281748992216,0.08215399372398262,0.08231462873606338,0.891722510833279,0.8906994541902936,0.8853961639726281,0.8825146862032559,0.8865827319899285,0.887383109437877,0.8902400097138564,0.889202945703041,0.8838270445138355,0.8809061144626311,0.8850298586449631,0.8858411946076655,0.025157578015327454,0.002006832671165466,0.025161225706338882,0.02470130291581154,0.024761519998311995,0.02516900897026062,0.02599483248591423,0.0019482275247573852,0.0019450780153274535,0.0019758163690567015,0.0021227943897247315,0.0020422470569610596
6,plain,constant,squar_exp,4,0.9187063097669282,0.9213102988509878,0.9269511632692801,0.9064612134538177,0.9149878802261402,0.9238209930344154,0.0660984643999612,0.06415716892859982,0.06827580322843203,0.06701552014561309,0.06755270757351813,0.06661993285522486,0.06868280487621405,0.06624241117176541,0.07804911933012706,0.07110538919604703,0.0704206958298624,0.0709000840808032,0.9213102988509878,0.9269511632692801,0.9064612134538177,0.9149878802261402,0.9238209930344154,0.9187063097669282,0.9202329043626393,0.9259510017116079,0.9051805099869075,0.9138239211825833,0.9227779741763674,0.917593262284021,0.17688203251361848,0.0019222869396209714,0.18760932663083077,0.17434108397364617,0.1745603067278862,0.17398419231176376,0.17391525292396545,0.001929877519607544,0.0019176048040390014,0.0019233715534210205,0.0019195337295532227,0.0019210470914840698
7,plain,linear,squar_exp,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,pls,quadratic,squar_exp,5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,plain,quadratic,squar_exp,1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,pls,constant,abs_exp,5,0.9441695163126343,0.9472684870289253,0.944145358653431,0.9446219281823691,0.938714693165815,0.9460971145326315,0.054100433842403914,0.05458495887732897,0.05562012307683132,0.054524326217613106,0.05468842325102428,0.05470365305304031,0.05681690074638045,0.0596369026627136,0.06050903825984738,0.06162767615372201,0.05804623851210425,0.05932735126695354,0.9472684870289253,0.944145358653431,0.9446219281823691,0.938714693165815,0.9460971145326315,0.9441695163126343,0.9465465038391591,0.943380614578199,0.9438637091463264,0.9378755941371523,0.9453590932813034,0.943405102996428,0.005872170341014862,0.001250991415977478,0.005831730872392654,0.005786657273769378,0.00585006958246231,0.005854524165391922,0.006037869811058044,0.0012428250312805176,0.00123807954788208,0.001207894802093506,0.0012782268524169922,0.0012879308462142944
11,pls,constant,squar_exp,5,0.8604654404317522,0.8711852550052516,0.8644475518986734,0.8493804060180069,0.8563969425839675,0.8609170466528622,0.0888937958120959,0.08939377114403155,0.09227417151958826,0.08956076855563244,0.0893370177152644,0.0898919049493225,0.08742771226106906,0.08941616344185353,0.09674186196660353,0.08910704397836751,0.09013359572182345,0.09056527547394341,0.8711852550052516,0.8644475518986734,0.8493804060180069,0.8563969425839675,0.8609170466528622,0.8604654404317522,0.8694215642776358,0.862591610672134,0.8473181701977667,0.8544307749621456,0.8590127668656549,0.8585549773950675,0.005940661638975144,0.0012674460649490355,0.005947689414024353,0.005926002591848374,0.005968699604272843,0.0059579844474792485,0.0059029321372509,0.0013627794981002808,0.0012801285982131957,0.0012316701412200927,0.0012532325983047486,0.0012094194889068603
12,plain,constant,abs_exp,5,0.9502191309868492,0.9509711534865217,0.9533409874263306,0.9456060464709347,0.9442508469549408,0.9569266205955183,0.051987051562232295,0.05046098536024489,0.05130463588959795,0.0539060346024829,0.04993119472115495,0.0515179804271426,0.05531572824240778,0.05470086420168121,0.05802655925083207,0.06120526540666712,0.05089238780025986,0.05602816098036961,0.9509711534865217,0.9533409874263306,0.9456060464709347,0.9442508469549408,0.9569266205955183,0.9502191309868492,0.9502998660342581,0.9527021469904842,0.9448613016710946,0.9434875471921534,0.9563368735144224,0.9495375470804825,0.17716163221001627,0.0019774969816207886,0.18329656738042832,0.17584485659003257,0.17547177281975745,0.17487371945381164,0.17632124480605124,0.0019813867807388307,0.0018956878185272218,0.0018980193138122558,0.0019063116312026977,0.002206079363822937
13,plain,constant,abs_exp,5,0.9508303951098236,0.9575842822659955,0.9515401072455985,0.9505673020304134,0.9466907263427206,0.9477695576643904,0.04644454248738951,0.05125402637000448,0.05289395965896647,0.0516844443212867,0.052261358158217024,0.05090766619917284,0.052668731178930686,0.05502973476055385,0.0563111520646288,0.05948175855900042,0.05669248018847162,0.05603677135031708,0.9575842822659955,0.9515401072455985,0.9505673020304134,0.9466907263427206,0.9477695576643904,0.9508303951098236,0.9570035396803879,0.95087660972817,0.9498904851718034,0.9459608326364596,0.9470544349752111,0.9501571804384066,0.19599878060817721,0.0020280312299728394,0.19177752029895784,0.19930597925186158,0.19940836796164513,0.20020972111821175,0.18929231441020966,0.0020347211360931395,0.0020645800828933717,0.0020822697877883913,0.0020243678092956544,0.00193421733379364
14,plsk,constant,squar_exp,5,0.8900867194505097,0.8918437851709399,0.8935735494830166,0.8960822972105258,0.8848174825159664,0.8841164828721002,0.07767545947211185,0.079360854464428,0.07736977925910742,0.07857550277251057,0.08018345758423101,0.07863301071047776,0.08090642117806973,0.07945538051079967,0.0828935978986536,0.08296284956706254,0.08108274260723837,0.08146019835236477,0.8918437851709399,0.8935735494830166,0.8960822972105258,0.8848174825159664,0.8841164828721002,0.8900867194505097,0.8903629445013737,0.8921163921990619,0.8946594889066131,0.8832404399337813,0.8825298424246086,0.8885818215930877,0.02612077802419662,0.0019992408990859986,0.028425509631633757,0.025535098284482957,0.025125801771879196,0.024872859179973603,0.02664462125301361,0.0020816434621810914,0.0020102291107177736,0.001983982801437378,0.0019710235595703125,0.0019493255615234376
15,plsk,constant,abs_exp,5,0.9459778034381723,0.9486170383673157,0.9491833376120561,0.9442275884360262,0.9398407882482928,0.9480202645271704,0.05394684803302857,0.05148577229099421,0.054711856578916994,0.05408228355202644,0.051820766042826504,0.05320950529955855,0.05384090104576306,0.05795743281607943,0.061155213375101006,0.06290983996840964,0.05834053449900198,0.05884078434087103,0.9486170383673157,0.9491833376120561,0.9442275884360262,0.9398407882482928,0.9480202645271704,0.9459778034381723,0.9479135191157526,0.9484875719505579,0.9434639702249575,0.9390171073571689,0.9473085744370251,0.9452381486170924,0.026881551295518873,0.002046015167236328,0.027535189270973207,0.027064487785100937,0.026817176014184953,0.027021793127059938,0.025969110280275345,0.0020598249435424803,0.0020406303405761717,0.002042856693267822,0.0020412867069244385,0.0020454771518707273
16,plain,constant,squar_exp,5,0.9198621948709388,0.9138331119525941,0.916756408691651,0.9206791303070568,0.9240424667047483,0.9239998566986439,0.06781140656656555,0.06797880480862066,0.06821735876143407,0.06407437242342792,0.06576431334616288,0.06676925118124223,0.07535473430022181,0.07257028578010474,0.06801811822888609,0.06464207236985874,0.06921880411824358,0.06996080295946298,0.9138331119525941,0.916756408691651,0.9206791303070568,0.9240424667047483,0.9239998566986439,0.9198621948709388,0.9126533421872391,0.9156166637802283,0.9195930940587255,0.9230024801941136,0.9229592867852887,0.918764973401119,0.18430570122599602,0.0020190359592437744,0.1876069302558899,0.1835523829162121,0.18352587044239044,0.1830299596786499,0.18381336283683777,0.0019947181940078735,0.002154766082763672,0.0019735349416732787,0.0020124385356903077,0.0019597220420837403
17,pls,constant,abs_exp,5,0.943433457930559,0.9389635913673811,0.9450901681831501,0.9419468261472648,0.9514327063392465,0.9397339976157528,0.05510796388665911,0.055138675456746986,0.05457429672613974,0.05397577800545683,0.05623931273936144,0.055007205362872826,0.06307916817091762,0.056761805488928334,0.06192776226434238,0.05499039995111832,0.06157166749597079,0.05966616067425549,0.9389635913673811,0.9450901681831501,0.9419468261472648,0.9514327063392465,0.9397339976157528,0.943433457930559,0.9381279001741353,0.9443383601410329,0.9411519804606401,0.9507677383225932,0.9389088545810801,0.9426589667358962,0.006000723958015442,0.00128032546043396,0.006308070421218872,0.005834886759519577,0.005820814669132233,0.0058656962513923645,0.006174151688814163,0.001385228157043457,0.0012727586030960084,0.0012651618719100952,0.0012562423944473267,0.0012222362756729127
